"title","description","date_from","date_to","Recurrence","start_time","end_time","location","address","City","State","event_website","Room","Keywords","Tags","photo_url","Ticket URL","Cost","Hashtag","Facebook URL","Group","Department","Allow User Activity","Allow User Interest","Visibility","Featured Tabs","Sponsored","Venue Page Only","Widget Only","Channels Only","Exclude From Trending","Event Types"
"EO DC Accelerator Cash Day","This is an event.","2019-06-13",,,"8:00AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=136df996-3c55-e811-9434-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC After Burner","This is an event.","2019-05-15",,,"12:00AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=ce44c0fd-ac6e-e811-9438-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Dine-Around","This is an event.","2019-05-11",,,"5:00PM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=aa1dad6e-065a-e811-9435-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Forum Training","This is an event.","2019-04-25",,,"8:00AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=8beb7d9d-1168-e811-9437-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Go From A to THE with Ryan Avery","This is an event.","2019-04-23",,,"8:30AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=2b89266b-8f41-e811-9433-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Accelerator Execution Day","This is an event.","2019-04-04",,,"8:00AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=61722f97-6652-e811-9434-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Take Your Company Into the Next Decade","This is an event.","2019-03-07",,,"9:30AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=f77ffda6-2f47-e811-9433-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Ritz-Carlton Leadership Center","This is an event.","2019-02-12",,,"8:00AM",,"Ritz-Carlton Tysons Corner / 1700 Tysons Boulevard","Ritz-Carlton Tysons Corner / 1700 Tysons Boulevard",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=71d08f18-cdcd-e811-943d-005056aa1955",,,,,,,,,,,,,,,,,,,,
"EO DC Forum Training","This is an event.","2019-01-22",,,"8:00AM",,"tbd /","tbd /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=0563ab3f-1168-e811-9437-00155df03a08",,,,,,,,,,,,,,,,,,,,
"EO DC Iron Cowboy","This is an event.","2019-01-16",,,"3:30PM",,"Equinox /","Equinox /",,,"http://www.eonetwork.org/member/events-and-learning/event-details?eventid=6747c190-6933-e811-9432-00155df03a06",,,,,,,,,,,,,,,,,,,,
